Resulting f_r values for the distribution of N = [2,1000] 
points on a single sphere with radius r = 1.
Values for f_r^N as well as the normalized value f_r^N,norm are given.
See publication JCC for further information.


N  f_r^N            f_r^N,norm
265  65463.3022656  247.031329304
266  65967.6574106  247.99871207
267  66473.5687849  248.964677097
268  66981.1738576  249.9297532
269  67490.3855113  250.893626436
270  68003.0279704  251.863066557
271  68516.9698523  252.830147057
272  69032.3034158  253.795233146
273  69550.2045289  254.762653952
274  70069.2710444  255.727266586
275  70592.2752999  256.699182909
276  71114.332989  257.660626772
277  71639.995588  258.628142917
278  72167.3622626  259.594828283
279  72697.7122217  260.56527678
280  73228.3612834  261.529861727
281  73762.5202395  262.500072027
282  74296.7341241  263.463596185
283  74834.0110576  264.431134479
284  75373.1377416  265.39837233
285  75913.9245524  266.364647552
286  76457.2367303  267.33299556
287  77001.7650564  268.298832949
288  77549.0911637  269.267677652
289  78098.0210882  270.235367087
290  78648.4366315  271.201505626
291  79202.5588173  272.17374164
292  79756.7964862  273.139713994
293  80312.7620625  274.104989975
294  80870.9608075  275.071295264
295  81431.2647089  276.038185454
296  81994.0980517  277.007088013
297  82561.3210095  277.984245823
298  83126.5923227  278.948296385
299  83694.2307174  279.913815108
300  84264.8751394  280.882917131
301  84836.8380414  281.84996027
302  85410.1813281  282.815169961
303  85986.5810888  283.784096003
304  86564.4914404  284.75161658
305  87145.2138171  285.722012515
306  87727.579493  286.691436252
307  88312.2751743  287.662134118
308  88897.3110398  288.627633246
309  89485.7651903  289.5979456
310  90076.0062317  290.567762038
311  90666.9677557  291.533658379
312  91261.228065  292.503936106
313  91855.7186824  293.468749784
314  92454.6548128  294.441575837
315  93053.9480761  295.409358972
316  93655.2357647  296.377328369
317  94259.6453544  297.349038973
318  94864.7749723  298.316902429
319  95472.2471532  299.286041233
320  96080.8949252  300.252796641
321  96692.4141972  301.222474135
322  97306.1241171  302.192932041
323  97921.2412303  303.161737555
324  98539.0534824  304.132881118
325  99157.2640009  305.099273849
326  99778.7194451  306.069691549
327  100401.726679  307.038919509
328  101027.024231  308.009220217
329  101653.852099  308.978273856
330  102282.650638  309.947426175
331  102913.914045  310.918169321
332  103546.458172  311.886922205
333  104180.418379  312.854109246
334  104818.171688  313.826861341
335  105456.584862  314.795775708
336  106097.75245  315.767120388
337  106739.566381  316.734618341
338  107384.302274  317.705036315
339  108032.15736  318.678930266
340  108679.625115  319.645956222
341  109330.144842  320.616260533
342  109983.101968  321.588017451
343  110636.035768  322.554040139
344  111292.179656  323.523778068
345  111951.158534  324.496111692
346  112611.897425  325.467911633
347  113273.320601  326.436082424
348  113936.973333  327.405095785
349  114603.76173  328.377540772
350  115271.610708  329.347459165
351  115940.492807  330.314794321
352  116613.814427  331.289245531
353  117288.202151  332.261195896
354  117963.296034  333.229649815
355  118640.913927  334.199757542
356  119321.699374  335.173312849
357  120004.030962  336.145744992
358  120686.16715  337.112198742
359  121371.661232  338.082621816
360  122059.060724  339.052946456
361  122748.28193  340.022941634
362  123441.117838  340.997563089
363  124133.544317  341.965686823
364  124830.335773  342.940482894
365  125527.378426  343.910625825
366  126227.521165  344.88393761
367  126926.47189  345.848697249
368  127630.50679  346.822029319
369  128335.999681  347.794037077
370  129042.783924  348.764280876
371  129752.515485  349.737238505
372  130463.760089  350.709032497
373  131176.300275  351.679089208
374  131893.736276  352.657048867
375  132608.306572  353.622150858
376  133328.767872  354.597786894
377  134047.893085  355.564703143
378  134771.21214  356.537598255
379  135495.155338  357.507006169
380  136223.083446  358.481798541
381  136950.58238  359.450347454
382  137680.715763  360.420721893
383  138415.028771  361.396941962
384  139148.619061  362.366195471
385  139885.876584  363.339939179
386  140626.158836  364.316473668
387  141364.340712  365.28253414
388  142106.501265  366.253869241
389  142850.811137  367.22573557
390  143596.634741  368.196499336
391  144345.088142  369.16902338
392  145096.136301  370.14320485
393  145848.635227  371.116120169
394  146603.266193  372.089508104
395  147358.71563  373.06003957
396  148116.319971  374.031111037
397  148877.135324  375.005378651
398  149639.023146  375.97744509
399  150403.187364  376.950344272
400  151168.483162  377.921207905
401  151938.282194  378.898459336
402  152705.536724  379.864519215
403  153478.113347  380.838990936
404  154251.662087  381.81104477
405  155028.00562  382.785199061
406  155803.88398  383.753408817
407  156585.292772  384.73044907
408  157367.508125  385.704676778
409  158150.356307  386.675687793
410  158935.563447  387.647715725
411  159724.062236  388.623022472
412  160511.890074  389.591966199
413  161304.634097  390.5681213
414  162097.435842  391.539700101
415  162892.721201  392.512581208
416  163690.800667  393.487501602
417  164488.75723  394.45745139
418  165288.696625  395.427503887
419  166092.596111  396.402377353
420  166899.510227  397.379786255
421  167704.883333  398.348891527
422  168517.016069  399.329421963
423  169324.074828  400.293321106
424  170138.663397  401.27043254
425  170953.543129  402.243630891
426  171770.664945  403.217523344
427  172585.851078  404.182321026
428  173409.540996  405.162478963
429  174231.503906  406.134041739
430  175057.230727  407.109838899
431  175883.975642  408.083470166
432  176710.965409  409.053160669
433  177542.547747  410.028978632
434  178377.015245  411.006947569
435  179208.372645  411.973270447
436  180047.271983  412.952458677
437  180884.294686  413.922871136
438  181726.091259  414.899751732
439  182567.416792  415.871108867
440  183410.845276  416.842830173
441  184256.783514  417.815835632
442  185104.27553  418.787953688
443  185955.469421  419.764039324
444  186806.790285  420.736014155
445  187661.96454  421.712279865
446  188519.836093  422.690215454
447  189377.975344  423.664374371
448  190236.175898  424.634321201
449  191096.73648  425.605203741
450  191962.337847  426.582972994
451  192828.182028  427.556944631
452  193696.693924  428.532508682
453  194566.429662  429.506467245
454  195437.507461  430.479091325
455  196310.749292  431.452196246
456  197186.670967  432.426910015
457  198065.231865  433.403133185
458  198943.99529  434.375535567
459  199826.425219  435.35168893
460  200712.424219  436.331356999
461  201596.231701  437.302021042
462  202481.45954  438.271557445
463  203371.304328  439.246877598
464  204262.486603  440.220876299
465  205157.737484  441.19943545
466  206051.46214  442.170519614
467  206946.923183  443.141163133
468  207847.108339  444.117752861
469  208748.9034  445.093610661
470  209651.577529  446.067186232
471  210556.431374  447.041255572
472  211462.554469  448.013886587
473  212372.054191  448.989543744
474  213284.281355  449.966838301
475  214197.666595  450.942455989
476  215112.054598  451.916081089
477  216029.563008  452.892165636
478  216946.283806  453.862518423
479  217867.197968  454.837574046
480  218790.415829  455.81336631
481  219716.591954  456.791251464
482  220640.572828  457.760524539
483  221572.216382  458.741648824
484  222502.41917  459.715742086
485  223433.371648  460.687364224
486  224367.939697  461.66242736
487  225306.940688  462.642588681
488  226244.534483  463.615849351
489  227183.910714  464.588774466
490  228124.670788  465.560552629
491  229070.103665  466.537889338
492  230015.053632  467.51027161
493  230963.887527  468.486587276
494  231914.249716  469.46204396
495  232867.128525  470.438643485
496  233818.23523  471.407732318
497  234779.846027  472.394056393
498  235734.566483  473.362583299
499  236693.960196  474.336593579
500  237656.981556  475.313963113
501  238621.871815  476.291161307
502  239585.958474  477.262865486
503  240555.583599  478.241716896
504  241525.26757  479.216800735
505  242496.605542  480.191298104
506  243471.544634  481.169060541
507  244447.071008  482.144124277
508  245421.936351  483.114047935
509  246403.747854  484.09380718
510  247384.333732  485.067321044
511  248368.861399  486.04473855
512  249354.778305  487.021051377
513  250342.612771  487.99729585
514  251332.938396  488.974588318
515  252322.497639  489.946597357
516  253313.737675  490.91809627
517  254309.62726  491.89483029
518  255308.375176  492.873311151
519  256307.660828  493.849057473
520  257311.613268  494.830025516
521  258312.048722  495.800477394
522  259320.657917  496.782869572
523  260324.869762  497.753097059
524  261334.789935  498.730515144
525  262344.401651  499.703622193
526  263358.01365  500.680634316
527  264372.210591  501.65504856
528  265391.032836  502.634531886
529  266408.435423  503.607628399
530  267429.721761  504.584380682
531  268454.07264  505.563225311
532  269477.233408  506.536153023
533  270503.948544  507.512098581
534  271533.711618  508.490096663
535  272564.501132  509.466357257
536  273595.286258  510.4389669
537  274631.152506  511.417416212
538  275670.236156  512.398208469
539  276704.946754  513.367248153
540  277747.440623  514.347112264
541  278791.131698  515.325566909
542  279834.901816  516.300556856
543  280881.435183  517.277044536
544  281926.171773  518.246639289
545  282978.787192  519.227132462
546  284030.498637  520.202378456
547  285086.907326  521.182645934
548  286142.656793  522.158132835
549  287200.72694  523.134293152
550  288260.431518  524.109875487
551  289322.590632  525.086371383
552  290386.544193  526.062580059
553  291457.758604  527.048388071
554  292520.806479  528.015896172
555  293588.492683  528.988275104
556  294661.086224  529.965982418
557  295738.571332  530.948961098
558  296810.316662  531.91813022
559  297891.761444  532.901183264
560  298968.987242  533.873191503
561  300052.293143  534.852572447
562  301140.265637  535.836771596
563  302220.516395  536.803759138
564  303308.253353  537.780591052
565  304398.033097  538.757580702
566  305487.789434  539.731076739
567  306583.613882  540.711841062
568  307681.425336  541.692650239
569  308777.679341  542.667274764
570  309879.641885  543.648494534
571  310977.121324  544.618426136
572  312083.196879  545.599994544
573  313189.586512  546.578685012
574  314292.54582  547.547989234
575  315403.417591  548.527682767
576  316516.248648  549.507376124
577  317627.238804  550.480483196
578  318740.965851  551.454958219
579  319859.038418  552.433572397
580  320979.547883  553.413013591
581  322100.932504  554.390589509
582  323223.70981  555.367198987
583  324347.740579  556.342608196
584  325475.359645  557.32082131
585  326605.948062  558.300765919
586  327737.094554  559.278318352
587  328867.353512  560.251028129
588  330005.665557  561.234125096
589  331141.661513  562.209951636
590  332277.848874  563.182794702
591  333419.088561  564.160894351
592  334562.690743  565.139680309
593  335704.513025  566.112163618
594  336852.805531  567.092265204
595  338000.163307  568.067501357
596  339153.631792  569.049717771
597  340304.659894  570.024555937
598  341457.375462  570.998955622
599  342613.6624  571.976064107
600  343775.508022  572.959180036
601  344936.441708  573.937507002
602  346098.407891  574.914298823
603  347263.278316  575.892667191
604  348432.145341  576.874412817
605  349592.418262  577.838707871
606  350765.556461  578.821050266
607  351941.159587  579.804216782
608  353115.828918  580.782613351
609  354290.826819  581.75833632
610  355470.529567  582.738573061
611  356645.604494  583.708026995
612  357826.127352  584.683214628
613  359014.570981  585.668141894
614  360199.453048  586.644060339
615  361388.156411  587.623018555
616  362577.973451  588.600606252
617  363768.260985  589.575787658
618  364962.476571  590.554169209
619  366161.138135  591.536572108
620  367358.737572  592.514092857
621  368561.4859  593.496756683
622  369761.243577  594.471452696
623  370961.742506  595.44420948
624  372169.793271  596.425950755
625  373373.989328  597.398382925
626  374586.884727  598.381604996
627  375794.068963  599.352582078
628  377011.366316  600.336570567
629  378227.338607  601.3153237
630  379441.504102  602.28810175
631  380662.500491  603.268622014
632  381884.080124  604.246962222
633  383106.292312  605.223210603
634  384332.435953  606.202580367
635  385560.612584  607.182067061
636  386791.983182  608.16349557
637  388016.895245  609.131703682
638  389254.453152  610.116697731
639  390490.78806  611.09669493
640  391728.699873  612.076093551
641  392969.311463  613.056648148
642  394207.996803  614.031147669
643  395447.293727  615.003567227
644  396692.113708  615.981543025
645  397941.851673  616.964111121
646  399190.905436  617.942578074
647  400443.831946  618.924006099
648  401693.736823  619.89774201
649  402949.204654  620.877048774
650  404208.901094  621.859847837
651  405462.946427  622.830946893
652  406723.344751  623.808810968
653  407987.012814  624.788687311
654  409252.079159  625.767705136
655  410518.041808  626.745101998
656  411786.398632  627.723168646
657  413055.430188  628.699284913
658  414333.147787  629.685634934
659  415602.483465  630.65627233
660  416879.322491  631.635337108
661  418162.685152  632.621308854
662  419444.396685  633.601807681
663  420720.915241  634.571516201
664  422008.565089  635.555067905
665  423293.804859  636.532037382
666  424586.068794  637.516619811
667  425874.31024  638.49221925
668  427165.079536  639.468681941
669  428460.145313  640.448647703
670  429755.798007  641.42656419
671  431054.200971  642.405664637
672  432353.543363  643.383249052
673  433653.995904  644.359577866
674  434955.287771  645.334254853
675  436265.764884  646.31965168
676  437573.936936  647.298723278
677  438882.488387  648.275462906
678  440198.231787  649.259928889
679  441509.373423  650.234717855
680  442823.151431  651.21051681
681  444142.577862  652.191744291
682  445463.952048  653.172950217
683  446782.513289  654.147164405
684  448104.044087  655.122871473
685  449432.753448  656.106209414
686  450765.109425  657.091996246
687  452093.713938  658.069452603
688  453420.941429  659.04206603
689  454753.694712  660.019876215
690  456088.206787  660.997401141
691  457423.618987  661.973399402
692  458765.168631  662.955445998
693  460109.49436  663.9386643
694  461454.09652  664.919447435
695  462801.669847  665.901683233
696  464146.19941  666.87672329
697  465497.782905  667.859085947
698  466843.647593  668.830440678
699  468201.868467  669.816693085
700  469551.852876  670.788361251
701  470911.653259  671.771259999
702  472267.93739  672.746349558
703  473630.141022  673.72708538
704  474994.222571  674.707702516
705  476356.618068  675.683146196
706  477729.58052  676.670793937
707  479093.445096  677.642779485
708  480464.95386  678.622816187
709  481840.446831  679.605707801
710  483213.48308  680.582370535
711  484598.931649  681.573743528
712  485972.456107  682.54558442
713  487350.396906  683.520893276
714  488733.12463  684.500174551
715  490120.508252  685.483228325
716  491502.145219  686.455510083
717  492893.608007  687.438783831
718  494284.374445  688.418348809
719  495679.098081  689.400692741
720  497649.186493  691.179425685
721  498471.932508  691.361903617
722  499871.106631  692.342252952
723  501266.581776  693.314774241
724  502672.295194  694.298750268
725  504080.486801  695.28343007
726  505481.702285  696.255788272
727  506896.82488  697.244600936
728  508303.573194  698.219193948
729  509709.718739  699.190286336
730  511130.472431  700.178729357
731  512546.265437  701.157681856
732  513962.528583  702.13460189
733  515382.320994  703.113671207
734  516806.254503  704.095714582
735  518232.535493  705.078279582
736  519654.786248  706.052698706
737  521082.140003  707.031397562
738  522510.469306  708.008765997
739  523942.660652  708.988715362
740  525373.644765  709.964384818
741  526809.7492  710.944330904
742  528250.912857  711.928453985
743  529688.646299  712.905311304
744  531132.371962  713.887596723
745  532576.304054  714.86752222
746  534022.837505  715.848307647
747  535471.468119  716.829274591
748  536919.349708  717.806617257
749  538373.507224  718.789729271
750  539826.101423  719.768135231
751  541278.357285  720.743485066
752  542737.548367  721.725463254
753  544199.330134  722.70827375
754  545661.52698  723.689027825
755  547782.742688  725.540056541
756  549275.964928  726.555509164
757  550746.988449  727.538954359
758  552224.918792  728.528916612
759  553700.396401  729.513038737
760  555146.396177  730.455784443
761  556658.321395  731.482682516
762  558154.859727  732.486692555
763  559626.7888  733.455817563
764  561062.768213  734.375351064
765  562583.680792  735.403504303
766  564047.097681  736.353913421
767  565542.096475  737.343020176
768  567064.758295  738.365570696
769  568524.822682  739.304060705
770  570020.250141  740.286039144
771  571510.814632  741.259162947
772  573029.658157  742.266396577
773  574511.215905  743.222789011
774  576014.848334  744.205230405
775  577549.282479  745.224880618
776  579043.534145  746.190121321
777  580583.493652  747.211703542
778  582030.29818  748.110923111
779  583630.285626  749.204474488
780  585110.437907  750.14158706
781  586634.901498  751.13303649
782  588142.074478  752.099839486
783  589649.910201  753.065019413
784  591216.953774  754.103257364
785  592737.892239  755.080117502
786  594202.996833  755.983456531
787  595751.719454  756.990748989
788  597363.970597  758.076104818
789  598818.546594  758.958867673
790  600401.152521  760.001458887
791  601937.885233  760.983420016
792  603442.050885  761.92178142
793  605010.427629  762.938748587
794  606482.966466  763.832451469
795  608070.76281  764.868884038
796  609667.066227  765.913399783
797  611174.042184  766.843214786
798  612707.308409  767.803644623
799  614286.493839  768.819141225
800  615822.755433  769.778444292
801  617381.494392  770.763413723
802  618915.524568  771.715117915
803  620510.081608  772.739827657
804  622079.223883  773.730377964
805  623598.277209  774.656244981
806  625165.24959  775.639267481
807  626746.084251  776.63703129
808  628332.946751  777.639785583
809  629945.296686  778.671565743
810  631528.450868  779.664754158
811  633062.050865  780.594390709
812  634685.220578  781.632045047
813  636290.672622  782.645353779
814  637767.542826  783.49820986
815  639372.889756  784.506613198
816  640992.795901  785.530387134
817  642566.237693  786.494782978
818  644211.96829  787.545193509
819  645709.750326  788.41239356
820  647337.355021  789.435798806
821  648927.269855  790.410803721
822  650492.426652  791.353317094
823  652173.710687  792.43464239
824  653721.738773  793.351624724
825  655336.604945  794.347399933
826  656950.175219  795.339195181
827  658545.107143  796.306054587
828  660169.716724  797.306421165
829  661789.682463  798.298772573
830  663384.930946  799.258952947
831  664992.546609  800.231704704
832  666637.619466  801.247138781
833  668273.971043  802.249665117
834  669882.155149  803.216013369
835  671474.22567  804.160749305
836  673115.276522  805.161814022
837  674716.148731  806.112483549
838  676385.578673  807.142695313
839  678030.507637  808.141248673
840  679644.571538  809.100680403
841  681317.395488  810.127699748
842  682912.229443  811.05965492
843  684599.729258  812.099322963
844  686213.863618  813.049601443
845  687892.304402  814.07373302
846  689590.58966  815.118900307
847  691226.008377  816.087377069
848  692791.187266  816.9707397
849  694469.46382  817.985234182
850  696104.555907  818.946536361
851  697714.683237  819.876243522
852  699420.946787  820.91660421
853  701075.878267  821.894347324
854  702730.724807  822.869701179
855  704337.757091  823.786850399
856  706078.722741  824.858320959
857  707768.619427  825.867700615
858  709396.548341  826.802503894
859  711138.140315  827.867450891
860  712750.805632  828.780006549
861  714389.742822  829.720955659
862  716088.537984  830.729162395
863  717799.807228  831.749486938
864  719484.767676  832.736999625
865  721160.910699  833.71203549
866  722850.635794  834.700503226
867  724493.256958  835.632360966
868  726235.029143  836.676300856
869  727973.138533  837.713623168
870  729622.332711  838.646359438
871  731284.974912  839.592393699
872  733006.651169  840.603957762
873  734696.71378  841.57699173
874  736356.53521  842.513198181
875  738097.048024  843.539483456
876  739830.811803  844.555721236
877  741475.92161  845.468553717
878  743238.892171  846.513544614
879  744993.106817  847.546196606
880  746599.333227  848.408333213
881  748366.826048  849.451561916
882  750017.911398  850.360443762
883  751803.365766  851.419440279
884  753486.775165  852.360605391
885  755286.001916  853.430510639
886  757008.878189  854.411826399
887  758712.488625  855.369209273
888  760418.167777  856.326765515
889  762055.499027  857.205285745
890  763875.039121  858.28656081
891  765606.354712  859.266391371
892  767317.216828  860.221095099
893  769156.93476  861.317956059
894  770828.703281  862.224500314
895  772541.402887  863.174751829
896  774352.410175  864.232600642
897  776102.385019  865.220050188
898  777831.499453  866.18207066
899  779554.485603  867.135134152
900  781333.760317  868.148622575
901  783137.681131  869.187215462
902  784932.624497  870.213552657
903  786574.977007  871.06863456
904  788371.04248  872.091861151
905  790175.315053  873.121895086
906  791908.290897  874.070961255
907  793680.250917  875.060916116
908  795459.424681  876.056635111
909  797199.306015  877.00693731
910  798953.199702  877.970549124
911  800729.503761  878.956645183
912  802502.394779  879.936836381
913  804273.545192  880.912973923
914  806077.544269  881.922914955
915  807872.760251  882.921049455
916  809669.897275  883.919101829
917  811421.653841  884.865489467
918  813219.172393  885.859664916
919  814950.109142  886.779226487
920  816795.30354  887.820982108
921  818555.940373  888.7686649
922  820367.141379  889.769133817
923  822189.843389  890.779895329
924  824071.058679  891.851795107
925  825755.321934  892.708456145
926  827677.280149  893.819956964
927  829420.91302  894.736691499
928  831277.9223  895.773623168
929  833045.73246  896.7123062
930  834817.087963  897.652782756
931  836691.316075  898.701735849
932  838491.697953  899.669203812
933  840304.928787  900.648369547
934  842086.117064  901.59113176
935  843918.487321  902.586617456
936  845763.710787  903.593708106
937  847574.331256  904.56171959
938  849391.805808  905.534974209
939  851239.900664  906.538765351
940  853086.862546  907.539215474
941  854934.330462  908.538077005
942  856777.523684  909.530279919
943  858550.679168  910.446107283
944  860444.553609  911.487874586
945  862334.846647  912.523647245
946  864001.004518  913.320300759
947  865982.139687  914.447877177
948  867821.197593  915.423204212
949  869642.36232  916.37762099
950  871522.247054  917.391839004
951  873257.171318  918.251494551
952  875224.685934  919.353661695
953  877083.0351  920.338966527
